y	wsm	wsf	female	male
1	0	0	1	1
1	0	0	1	4
1	0	0	1	5
0	1	0	1	6
1	1	0	1	9
1	1	0	1	10
1	0	0	2	1
1	0	0	2	3
1	0	0	2	5
1	1	0	2	7
1	1	0	2	8
1	1	0	2	10
1	0	0	3	1
1	0	0	3	2
1	0	0	3	3
0	1	0	3	6
1	1	0	3	8
1	1	0	3	9
1	0	0	4	2
1	0	0	4	4
1	0	0	4	5
1	1	0	4	7
1	1	0	4	9
0	1	0	4	10
1	0	0	5	2
1	0	0	5	3
1	0	0	5	4
1	1	0	5	6
1	1	0	5	7
1	1	0	5	8
0	0	1	6	1
0	0	1	6	2
0	0	1	6	4
0	1	1	6	7
1	1	1	6	8
0	1	1	6	10
1	0	1	7	1
0	0	1	7	2
1	0	1	7	5
1	1	1	7	6
1	1	1	7	9
1	1	1	7	10
0	0	1	8	3
0	0	1	8	4
0	0	1	8	5
1	1	1	8	6
1	1	1	8	7
1	1	1	8	10
1	0	1	9	1
1	0	1	9	3
0	0	1	9	4
1	1	1	9	6
1	1	1	9	8
1	1	1	9	9
0	0	1	10	2
1	0	1	10	3
0	0	1	10	5
1	1	1	10	7
1	1	1	10	8
0	1	1	10	9
0	0	0	11	12
1	0	0	11	13
1	0	0	11	14
1	1	0	11	16
1	1	0	11	19
1	1	0	11	20
0	0	0	12	11
0	0	0	12	13
1	0	0	12	14
0	1	0	12	17
0	1	0	12	18
0	1	0	12	19
1	0	0	13	11
1	0	0	13	14
0	0	0	13	15
0	1	0	13	16
0	1	0	13	17
1	1	0	13	20
1	0	0	14	11
0	0	0	14	12
1	0	0	14	15
1	1	0	14	18
1	1	0	14	19
0	1	0	14	20
0	0	0	15	12
0	0	0	15	13
0	0	0	15	15
1	1	0	15	16
0	1	0	15	17
1	1	0	15	18
1	0	1	16	12
0	0	1	16	14
0	0	1	16	15
1	1	1	16	18
1	1	1	16	19
1	1	1	16	20
0	0	1	17	11
0	0	1	17	12
0	0	1	17	14
0	1	1	17	16
1	1	1	17	17
0	1	1	17	20
0	0	1	18	11
0	0	1	18	12
0	0	1	18	13
1	1	1	18	16
0	1	1	18	17
0	1	1	18	19
1	0	1	19	13
0	0	1	19	14
0	0	1	19	15
1	1	1	19	18
1	1	1	19	19
1	1	1	19	20
0	0	1	20	11
0	0	1	20	13
0	0	1	20	15
0	1	1	20	16
0	1	1	20	17
1	1	1	20	18
1	0	0	21	21
1	0	0	21	24
1	0	0	21	25
0	1	0	21	26
0	1	0	21	29
0	1	0	21	30
0	0	0	22	21
1	0	0	22	23
1	0	0	22	25
1	1	0	22	27
0	1	0	22	28
1	1	0	22	30
1	0	0	23	21
0	0	0	23	22
1	0	0	23	23
1	1	0	23	26
1	1	0	23	28
1	1	0	23	29
0	0	0	24	22
1	0	0	24	24
0	0	0	24	25
0	1	0	24	27
0	1	0	24	29
0	1	0	24	30
0	0	0	25	22
1	0	0	25	23
1	0	0	25	24
0	1	0	25	26
0	1	0	25	27
0	1	0	25	28
1	0	1	26	21
0	0	1	26	22
1	0	1	26	24
1	1	1	26	27
1	1	1	26	28
1	1	1	26	30
0	0	1	27	21
0	0	1	27	22
0	0	1	27	25
0	1	1	27	26
1	1	1	27	29
1	1	1	27	30
0	0	1	28	23
0	0	1	28	24
0	0	1	28	25
0	1	1	28	26
0	1	1	28	27
0	1	1	28	30
1	0	1	29	21
1	0	1	29	23
1	0	1	29	24
1	1	1	29	26
1	1	1	29	28
1	1	1	29	29
0	0	1	30	22
1	0	1	30	23
0	0	1	30	25
1	1	1	30	27
1	1	1	30	28
1	1	1	30	29
0	0	0	31	32
0	0	0	31	33
1	0	0	31	34
0	1	0	31	36
1	1	0	31	39
1	1	0	31	40
1	0	0	32	31
1	0	0	32	33
1	0	0	32	34
0	1	0	32	37
1	1	0	32	38
0	1	0	32	39
0	0	0	33	31
0	0	0	33	34
0	0	0	33	35
1	1	0	33	36
0	1	0	33	37
1	1	0	33	40
1	0	0	34	31
1	0	0	34	32
1	0	0	34	35
1	1	0	34	38
0	1	0	34	39
1	1	0	34	40
0	0	0	35	32
1	0	0	35	33
0	0	0	35	35
1	1	0	35	36
0	1	0	35	37
1	1	0	35	38
0	0	1	36	32
0	0	1	36	34
0	0	1	36	35
1	1	1	36	38
1	1	1	36	39
0	1	1	36	40
0	0	1	37	31
0	0	1	37	32
0	0	1	37	34
1	1	1	37	36
0	1	1	37	37
1	1	1	37	40
0	0	1	38	31
0	0	1	38	32
0	0	1	38	33
1	1	1	38	36
1	1	1	38	37
1	1	1	38	39
1	0	1	39	33
0	0	1	39	34
0	0	1	39	35
1	1	1	39	38
1	1	1	39	39
0	1	1	39	40
0	0	1	40	31
0	0	1	40	33
0	0	1	40	35
0	1	1	40	36
0	1	1	40	37
0	1	1	40	38
1	0	0	41	41
1	0	0	41	44
1	0	0	41	45
0	1	0	41	46
1	1	0	41	49
1	1	0	41	50
0	0	0	42	41
0	0	0	42	43
0	0	0	42	45
0	1	0	42	47
1	1	0	42	48
0	1	0	42	50
1	0	0	43	41
1	0	0	43	42
1	0	0	43	43
1	1	0	43	46
1	1	0	43	48
0	1	0	43	49
1	0	0	44	42
1	0	0	44	44
0	0	0	44	45
0	1	0	44	47
0	1	0	44	49
1	1	0	44	50
1	0	0	45	42
0	0	0	45	43
1	0	0	45	44
0	1	0	45	46
0	1	0	45	47
1	1	0	45	48
0	0	1	46	41
0	0	1	46	42
0	0	1	46	44
0	1	1	46	47
1	1	1	46	48
0	1	1	46	50
0	0	1	47	41
0	0	1	47	42
0	0	1	47	45
0	1	1	47	46
1	1	1	47	49
1	1	1	47	50
0	0	1	48	43
0	0	1	48	44
0	0	1	48	45
0	1	1	48	46
1	1	1	48	47
1	1	1	48	50
0	0	1	49	41
0	0	1	49	43
0	0	1	49	44
0	1	1	49	46
1	1	1	49	48
1	1	1	49	49
0	0	1	50	42
0	0	1	50	43
0	0	1	50	45
0	1	1	50	47
1	1	1	50	48
1	1	1	50	49
1	0	0	51	52
1	0	0	51	53
1	0	0	51	54
1	1	0	51	56
0	1	0	51	59
1	1	0	51	60
